track_id,like,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6Uj1ctrBOjOas8xZXGqKk4,69.95060693641618,0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
4S4ZY1yKo3WUtzsg3O6hcf,36.31464285714286,0.608,0.841,-8.354,0.0293,0.000672,1.67e-05,0.0704,0.185,129.994,214159,4
3cBsEDNhFI9E82vPj3kvi3,64.84794642857142,0.505,0.657,-5.24,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3
3oyc1mIdCBGaU55wX7otqM,53.2206884057971,0.645,0.809,-6.12,0.0385,0.00921,0.00108,0.106,0.966,138.978,196680,4
4ZtFanR9U6ndgddUvNcjcG,69.0615,0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
1ERCOXHQcoLSTlgmNTlcrR,50.93593959731543,0.717,0.792,-2.703,0.0393,0.199,0.0,0.423,0.513,126.975,222200,4
2BcMwX1MPV6ZHP4tUT9uq6,67.11363888888889,0.849,0.424,-9.579,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4
1sUxW2zAmXA7lXHC8Dxu4s,42.74014150943396,0.241,0.064,-24.272,0.0602,0.994,0.95,0.0715,0.0372,141.739,69840,4
4h4QlmocP3IuwYEj2j14p8,66.0351935483871,0.768,0.714,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,163026,4
0qvo5kciIqZJn1t8jdfqDn,47.45981884057971,0.596,0.872,-4.925,0.0796,0.135,3.23e-06,0.278,0.899,146.734,186213,4
0T5iIrXA4p5GsubkhuBIKV,67.39528481012658,0.539,0.508,-6.05,0.0288,0.727,0.0,0.174,0.227,101.358,177720,3
3sNhMmddBLSV8bUaTGLfkg,47.123,0.69,0.735,-7.542,0.363,0.131,0.0,0.357,0.319,120.013,204292,4
0e8nrvls4Qqv5Rfa2UhqmO,68.66739520958083,0.737,0.846,-4.51,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4
48Mk9nvXiHZ9eSDqkX8sSZ,41.749575471698115,0.474,0.0185,-31.5,0.0524,0.989,0.925,0.0601,0.0227,75.068,59443,3
5CZ40GBx1sQ9agT82CLQCT,68.5615,0.38,0.339,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4
1bqlDsBlBPxjK0zuFQcSXq,47.075760869565215,0.724,0.767,-5.368,0.0646,0.115,0.0,0.0995,0.893,133.509,228973,4
65OVbaJR5O1RmwOQx0875b,66.58586111111111,0.578,0.449,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,4
0DBlFmx6wmnuoLaAl7hfew,46.03971264367816,0.848,0.39,-11.553,0.107,0.127,0.397,0.105,0.577,144.986,245101,4
3Vi5XqYrmQgOYBajMWSvCi,67.4072543352601,0.664,0.609,-6.509,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
3DfKQFbKLYCnzluGint477,41.749575471698115,0.139,0.0829,-20.026,0.0822,0.601,0.975,0.0869,0.0363,61.692,144149,4
5HCyWlXZPP0y6Gqq8TgA20,68.80032738095238,0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
2JjwQsLvMknwKhMRbdC7Mb,49.83832278481013,0.604,0.204,-17.793,0.0299,0.751,0.867,0.0976,0.122,114.002,114000,4
6HU7h9RYOaPRFeh0R3UeAr,67.5615,0.442,0.612,-7.222,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4
4cdcFyEEr2g74eM9m8XohF,47.123,0.77,0.781,-10.694,0.219,0.162,2.55e-06,0.825,0.632,144.931,104668,4
6I3mqTwhRpn34SLVafSH7G,69.17402857142856,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4
5PraiQQAIkl0xw6pSFVX5h,40.24964285714286,0.459,0.693,-10.44,0.254,0.238,0.0,0.931,0.53,136.397,1035421,4
1r9xUipOqoNwggBpENDsvJ,68.68687134502923,0.728,0.783,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,173381,4
0mU8byD07n6FLEOqxRJcz1,45.13276978417266,0.758,0.737,-8.83,0.0314,0.598,0.0,0.359,0.974,132.706,133520,4
27NovPIUIRrOZoCHxABJwK,67.68535928143712,0.736,0.704,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
4trDNqHFg6hfx8w9uni7lY,47.123,0.735,0.748,-8.329,0.355,0.123,0.0,0.108,0.533,159.886,207750,4
7BbaIYAdi3pg4MGl6PHwPv,64.40521341463415,0.693,0.575,-7.633,0.0906,0.121,0.0,0.104,0.353,138.016,160052,4
5Sr84YP8kcuQrT8RRtaNlO,39.92424603174603,0.532,0.876,-10.247,0.257,0.232,0.0,0.384,0.654,100.349,457619,5
50nfwKoDiSYg8zOCREWAm5,69.17402857142856,0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4
3i3GT7ifoEhj3tNihcVxKC,46.142120253164556,0.508,0.0968,-19.561,0.0323,0.913,0.721,0.108,0.0925,142.507,100441,3
52xJxFP6TqMuO4Yt0eOkMz,63.2414238410596,0.577,0.45,-8.516,0.0834,0.357,0.0,0.111,0.83,205.863,216120,4
65hIZYAYu3fxltrGK6frIn,47.123,0.714,0.905,-6.461,0.0685,0.00845,0.133,0.686,0.384,74.998,147217,4
4RVwu0g32PAqgUiJoXsdF8,67.68102339181286,0.332,0.225,-8.697,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
7h7yPyss4MIBVPXVeF83vg,43.26916666666666,0.887,0.633,-10.453,0.066,0.0629,0.922,0.0637,0.849,130.023,176363,4
6f5ExP43esnvdKPddwKXJH,63.51277777777777,0.717,0.671,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4
7uYyLVNjKY49L8o3AouXZd,45.539528985507246,0.515,0.832,-5.643,0.0398,0.0664,0.000486,0.055,0.952,166.728,190307,4
