artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,like
Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,92,5cj0lLjcoR7YOSnhnX0Po5,88,"dance pop, pop",19808138,69.95060693641618
Mr.Kitty,Years - 2021 Remaster,4S4ZY1yKo3WUtzsg3O6hcf,23,0pWwt5vGNzezEhfAcc420Y,69,weirdcore,326584,36.31464285714286
Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,83,4oUHIQIBe0LHzYfvXNW4QM,83,contemporary country,3546530,64.84794642857142
Elvis Costello & The Attractions,Pump It Up - 2021 Remaster,3oyc1mIdCBGaU55wX7otqM,63,4qmHkMxr6pTWh5Zo74odpH,53,"art rock, folk rock, mellow gold, new wave pop, power pop, pub rock, rock, roots rock",231739,53.2206884057971
Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,91,1McMsnEElThX1knmY4oliG,85,pop,17971848,69.0615
Jay Sean,2012 (It Ain't The End),1ERCOXHQcoLSTlgmNTlcrR,56,4pADjHPWyrlAF0FA7joK2H,64,"dance pop, pop, pop rap, post-teen pop, urban contemporary",1563663,50.93593959731543
Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,85,3TVXtAsR1Inumwj472S9r4,95,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",64446908,67.11363888888889
Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,25,5XY9JN9PcQ41KQTZqtyhsL,21,,6,42.74014150943396
Nicky Youre,Sunroof,4h4QlmocP3IuwYEj2j14p8,89,7qmpXeNz2ojlMl2EEfkeLs,70,,34350,66.0351935483871
Elvis Costello & The Attractions,"Radio, Radio - 2021 Remaster",0qvo5kciIqZJn1t8jdfqDn,48,4qmHkMxr6pTWh5Zo74odpH,53,"art rock, folk rock, mellow gold, new wave pop, power pop, pub rock, rock, roots rock",231739,47.45981884057971
Stephen Sanchez,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,91,5XKFrudbV4IiuE5WuTPRmT,73,gen z singer-songwriter,117267,67.39528481012658
Hop hip show,YEAR 2021,3sNhMmddBLSV8bUaTGLfkg,0,5Ioq8HOg38X9F4i7ctL0UQ,0,,23,47.123
Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,91,7jVv8c5Fj3E9VhNjxT4snq,82,"lgbtq+ hip hop, pop",11240147,68.66739520958083
Otmar Eros,"Year 2016:, Pt. 1",48Mk9nvXiHZ9eSDqkX8sSZ,20,5XY9JN9PcQ41KQTZqtyhsL,21,,6,41.749575471698115
Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,90,1McMsnEElThX1knmY4oliG,85,pop,17971848,68.5615
Elvis Costello & The Attractions,The Beat - 2021 Remaster,1bqlDsBlBPxjK0zuFQcSXq,47,4qmHkMxr6pTWh5Zo74odpH,53,"art rock, folk rock, mellow gold, new wave pop, power pop, pub rock, rock, roots rock",231739,47.075760869565215
Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,84,3TVXtAsR1Inumwj472S9r4,95,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",64446908,66.58586111111111
yt music,Year 2021,0DBlFmx6wmnuoLaAl7hfew,0,4huHjXJ8t0vPyThb3b6oHM,2,,85,46.03971264367816
Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,87,5cj0lLjcoR7YOSnhnX0Po5,88,"dance pop, pop",19808138,67.4072543352601
Otmar Eros,"Year 2016:, Pt. 2",3DfKQFbKLYCnzluGint477,20,5XY9JN9PcQ41KQTZqtyhsL,21,,6,41.749575471698115
The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,91,2tIP7SsRs7vjIcLrU85W8J,83,australian hip hop,3794414,68.80032738095238
Lofi Fruits Music,7 Years,2JjwQsLvMknwKhMRbdC7Mb,53,1dABGukgZ8XKKOdd2rVSHM,73,"lo-fi cover, lo-fi product",541227,49.83832278481013
Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,88,1McMsnEElThX1knmY4oliG,85,pop,17971848,67.5615
Duck,Year 2021,4cdcFyEEr2g74eM9m8XohF,0,4f88qkUphyOUhjuCRR3n53,0,,0,47.123
Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,90,1uNFoZAHBGtllmzznpCI3s,90,"canadian pop, pop",62256728,69.17402857142856
Amaranta,Medley Picaflor de Los Andes - Live Streaming New Year 2021 Remastered,5PraiQQAIkl0xw6pSFVX5h,26,18MbBAbtk2Knvmk75JXFqd,41,"huayno peruano, tunantada",30904,40.24964285714286
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,90,53XhwfbYqKCa1cC15pYq2q,86,"modern rock, rock",40758002,68.68687134502923
France Gall,Laisse tomber les filles,0mU8byD07n6FLEOqxRJcz1,42,22HVxZPA6UhBp8wahxDA6I,54,"chanson, french pop, ye ye",286919,45.13276978417266
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,89,7jVv8c5Fj3E9VhNjxT4snq,82,"lgbtq+ hip hop, pop",11240147,67.68535928143712
J.K.,Year 2021,4trDNqHFg6hfx8w9uni7lY,0,5ZDdXySQnyOvq4PvZGVYX2,0,,2,47.123
Yeat,Monëy so big,7BbaIYAdi3pg4MGl6PHwPv,83,3qiHUAX7zY4Qnjx8TNUzVx,79,pluggnb,861483,64.40521341463415
Amaranta,Mix de Huaylas - Live Streaming audio and video New Year 2021 remasterized,5Sr84YP8kcuQrT8RRtaNlO,25,18MbBAbtk2Knvmk75JXFqd,41,"huayno peruano, tunantada",30904,39.92424603174603
Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,90,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, uk pop",98850446,69.17402857142856
Lofi Fruits Music,A Thousand Years,3i3GT7ifoEhj3tNihcVxKC,45,1dABGukgZ8XKKOdd2rVSHM,73,"lo-fi cover, lo-fi product",541227,46.142120253164556
Carolina Gaitán - La Gaita,We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,84,29PgYEggDV3cDP9QYTogwv,66,,38447,63.2414238410596
Craze_Returned,Year 2021,65hIZYAYu3fxltrGK6frIn,0,18cwPwYirwKuV1s52HTWif,0,,10,47.123
Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,88,6qqNVTkY8uBg9cP3Jd7DAH,86,"art pop, electropop, pop",64430484,67.68102339181286
Dj Biffen,Merry Christmas and Happy New Year 2021 - Radio Edit,7h7yPyss4MIBVPXVeF83vg,24,7K54lZmkO9dwqe22N27ftb,17,,26,43.26916666666666
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,84,5H6xmHXjsq98NLbEjuE29f,68,scandipop,115758,63.51277777777777
Elvis Costello & The Attractions,(I Don't Want To Go To) Chelsea - 2021 Remaster,7uYyLVNjKY49L8o3AouXZd,43,4qmHkMxr6pTWh5Zo74odpH,53,"art rock, folk rock, mellow gold, new wave pop, power pop, pub rock, rock, roots rock",231739,45.539528985507246
Elton John,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,90,3PhoLpVuITZKcymswpck5b,82,"glam rock, mellow gold, piano rock",9522106,68.17637724550897
Arnold Onea,YEAR 2021,1tSKyM7Sl77WBCp0Ha9mUi,0,3JzEf6R0RzMTK11uItTw6l,0,,12,47.123
Morgan Wallen,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,79,4oUHIQIBe0LHzYfvXNW4QM,83,contemporary country,3546530,62.87175595238095
Elvis Costello & The Attractions,This Year's Girl - 2021 Remaster,1fdZTOJXydtRzCwBbHlJco,38,4qmHkMxr6pTWh5Zo74odpH,53,"art rock, folk rock, mellow gold, new wave pop, power pop, pub rock, rock, roots rock",231739,43.61923913043478
Jordan Davis,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,80,77kULmXAQ6vWer7IIHdGzI,69,contemporary country,650398,61.85360389610389
Fred again..,Kahan (last year),3IGsYYUDb4PrfrsP5tmjHd,45,4oLeXFyACqeem2VImYeBFe,63,,137557,46.21929054054054
Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr,86,1gl0S9pS0Zw0qfa14rDD3D,69,"dreamo, indie pop, indie surf, surf punk, vegas indie",743131,64.54191558441558
